team,recent_win_pct,hist_win_pct,strength,position
Gujarat Titans,0.5454545454545454,0.75,0.5454545454545454,1
Kolkata Knight Riders,0.5609756097560976,0.5022421524663677,0.5374822268402056,2
Chennai Super Kings,0.5,0.5817307692307693,0.5326923076923077,3
Royal Challengers Bangalore,0.5681818181818182,0.4646017699115044,0.5267497988736927,4
Mumbai Indians,0.4782608695652174,0.5541125541125541,0.5086015433841521,5
Rajasthan Royals,0.4883720930232558,0.515625,0.49927325581395343,6
Lucknow Super Giants,0.4883720930232558,0.6,0.4883720930232558,7
Punjab Kings,0.45652173913043476,0.45871559633027525,0.45739928201037094,8
Delhi Capitals,0.4418604651162791,0.45982142857142855,0.44904485049833887,9
Sunrisers Hyderabad,0.4318181818181818,0.4581497797356828,0.44235082098518225,10
